SQ2,SQ5AA,RQ1A,Q7,Q7A_1_1,Q7A_2_1,Q7A_3_1,Q7A_4_1,Q7A_5_1,Q7A_6_1,Q7A_7_1,Q7A_8_1,Q7A_9_1,Q7A_10_1,Q7A_11_1,Q7A_12_1,Q7A_13_1,Q7A_14_1,Q7A_15_1,Q7A_16_1,Q7A_17_1,Q7A_18_1,Q7A_19_1,Q7A_20_1,Q7A_21_1,Q7A_22_1,Q7A_23_1,Q7A_24_1,Q7A_25_1,Q7A_26_1,Q7A_27_1,Q7A_28_1,Q7A_29_1,Q7A_30_1,Q7A_31_1,Q7A_32_1,Q7A_33_1,Q7A_34_1,Q7A_35_1,Q7A_36_1,Q7A_37_1,Q7A_38_1,Q7A_39_1,Q7A_40_1
40,2,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5,2.0,3,9.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,3.0,3,6.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2,6.0,2,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,2.0,1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,5.0,8,8.0,5.0,8.0,7.0,6.0,7.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5,3.0,2,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,3.0,3,10.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2,4.0,6,7.0,4.0,8.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,5.0,5,7.0,7.0,6.0,6.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5,3.0,3,7.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2,3.0,2,10.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,4.0,3,8.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2,6.0,3,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,4.0,6,8.0,11.0,7.0,6.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,5.0,3,9.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2,2.0,3,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,3.0,2,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,5,2.0,3,1.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2,2.0,2,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,5,5.0,1,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,2.0,2,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5,5.0,20,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,9.0,7.0,7.0,7.0,7.0,10.0,10.0,7.0,,,,,,,,,,,,,,,,,,,,
51,2,6.0,3,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2,5.0,6,11.0,12.0,11.0,11.0,11.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5,5.0,5,7.0,7.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,5,6.0,1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,4.0,2,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2,5.0,2,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5,5.0,3,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,3.0,3,8.0,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,,2,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2,3.0,2,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2,2.0,1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,5,4.0,3,6.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,2.0,2,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2,3.0,3,9.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,3.0,6,10.0,8.0,3.0,3.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2,2.0,2,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,6.0,1,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,5,6.0,1,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5,6.0,1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,3.0,1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2,4.0,8,12.0,12.0,9.0,8.0,7.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5,6.0,2,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,5,6.0,5,3.0,8.0,6.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
